                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.83017,                0.79018,                0.87893,                0.90404,                0.94662,                0.98467,                0.76916,                0.71483,                0.50857,                0.84198,             0.00028401,             0.00028401,             0.00028401
                    118,                0.77882,                0.85508,                0.84496,                0.88768,                0.96966,                0.98404,                0.76678,                0.71375,                0.50072,                 0.8414,             0.00028071,             0.00028071,             0.00028071
                    119,                0.82115,                0.75299,                0.84212,                0.89921,                 0.9672,                0.98341,                0.76627,                0.71589,                0.48628,                0.84106,             0.00027741,             0.00027741,             0.00027741
                    120,                0.84059,                0.84079,                0.84002,                 0.9428,                  0.933,                0.98391,                0.77207,                0.71123,                0.46594,                0.84031,              0.0002741,              0.0002741,              0.0002741
                    121,                0.76993,                0.80826,                0.85807,                0.94891,                0.96479,                0.98474,                0.77365,                0.70972,                0.45293,                0.83997,              0.0002708,              0.0002708,              0.0002708
                    122,                0.81181,                0.79441,                0.86461,                0.90354,                0.97751,                0.98338,                0.77546,                0.71517,                0.45531,                0.84103,              0.0002675,              0.0002675,              0.0002675
                    123,                0.79048,                0.72947,                0.84891,                 0.8395,                0.97854,                0.98202,                0.78003,                0.71338,                 0.4721,                0.84103,              0.0002642,              0.0002642,              0.0002642
                    124,                0.76481,                0.76672,                0.84215,                0.82049,                0.97968,                0.98237,                0.78675,                0.71307,                0.48101,                0.84037,              0.0002609,              0.0002609,              0.0002609
                    125,                0.74636,                0.79932,                0.82406,                0.81607,                0.97073,                0.98394,                0.79066,                0.70932,                0.45851,                0.83898,              0.0002576,              0.0002576,              0.0002576
                    126,                0.72554,                 0.7864,                0.80811,                0.96812,                 0.8731,                0.98531,                0.78086,                0.70857,                0.44948,                0.83816,             0.00025429,             0.00025429,             0.00025429
                    127,                0.77223,                0.79898,                0.88037,                0.80648,                 0.9678,                0.98587,                0.78501,                0.70706,                0.45591,                0.83786,             0.00025099,             0.00025099,             0.00025099
                    128,                0.79807,                0.74865,                0.84925,                0.80883,                0.96561,                0.98634,                0.77986,                0.71284,                0.46787,                0.83875,             0.00024769,             0.00024769,             0.00024769
                    129,                0.81427,                0.84325,                0.82119,                0.82752,                0.94444,                 0.9742,                0.77761,                 0.7139,                0.47588,                0.84029,             0.00024439,             0.00024439,             0.00024439
                    130,                0.80589,                 0.9086,                0.86223,                0.87725,                0.96523,                0.98988,                0.79872,                0.72145,                0.47105,                0.84148,             0.00024109,             0.00024109,             0.00024109
                    131,                0.84365,                0.89155,                0.90545,                0.93234,                0.95272,                0.99063,                0.79415,                0.72355,                0.46194,                0.84192,             0.00023779,             0.00023779,             0.00023779
                    132,                0.73316,                0.72727,                0.83971,                0.92772,                0.97509,                0.99094,                0.79005,                0.71365,                0.46451,                0.84013,             0.00023448,             0.00023448,             0.00023448
                    133,                0.81991,                0.77455,                0.83387,                 0.9602,                0.96398,                0.99205,                0.80067,                0.70434,                0.46048,                 0.8383,             0.00023118,             0.00023118,             0.00023118
                    134,                0.78825,                0.85523,                0.85418,                0.95626,                0.96689,                0.99248,                0.79492,                0.69383,                0.46228,                0.83716,             0.00022788,             0.00022788,             0.00022788
                    135,                0.78784,                0.83487,                0.82712,                0.93994,                0.95844,                0.98978,                0.79723,                0.68867,                0.47466,                0.83629,             0.00022458,             0.00022458,             0.00022458
                    136,                0.80917,                0.83013,                0.85146,                0.89938,                 0.9598,                0.98978,                0.80941,                0.69086,                0.48965,                 0.8352,             0.00022128,             0.00022128,             0.00022128
                    137,                0.74818,                0.71234,                0.83813,                0.88458,                0.95693,                0.98955,                0.81812,                0.70725,                0.49524,                 0.8371,             0.00021798,             0.00021798,             0.00021798
                    138,                0.81716,                0.89788,                0.86156,                0.89591,                0.95858,                0.99079,                0.80919,                 0.7184,                   0.49,                 0.8397,             0.00021467,             0.00021467,             0.00021467
                    139,                0.73063,                 0.7025,                0.83471,                0.91895,                 0.9563,                0.99079,                0.80892,                0.71776,                0.47676,                0.84132,             0.00021137,             0.00021137,             0.00021137
                    140,                0.76966,                0.75909,                0.87015,                0.92474,                0.96237,                0.98997,                0.81036,                0.71208,                0.46939,                0.84148,             0.00020807,             0.00020807,             0.00020807
                    141,                0.78352,                0.71731,                0.84512,                0.92705,                0.96764,                0.99015,                0.81457,                0.70534,                0.46461,                0.83961,             0.00020477,             0.00020477,             0.00020477
                    142,                0.68443,                0.70744,                0.83719,                0.92503,                0.97029,                0.99055,                0.81104,                0.69994,                0.46481,                 0.8378,             0.00020147,             0.00020147,             0.00020147
                    143,                0.80004,                0.75821,                0.88037,                0.92185,                0.97521,                0.99012,                0.80438,                0.69309,                0.45542,                0.83585,             0.00019817,             0.00019817,             0.00019817
                    144,                0.75337,                0.80909,                0.84563,                0.91561,                 0.9899,                0.98927,                0.80522,                0.69103,                0.44328,                0.83432,             0.00019486,             0.00019486,             0.00019486
                    145,                0.73126,                0.69024,                0.84494,                0.91193,                 0.9899,                 0.9897,                0.82101,                0.69645,                0.43834,                0.83509,             0.00019156,             0.00019156,             0.00019156
                    146,                0.78908,                 0.7651,                 0.9003,                0.89979,                0.98869,                0.98927,                0.81668,                0.69961,                0.43517,                0.83532,             0.00018826,             0.00018826,             0.00018826
                    147,                0.73133,                0.72344,                0.85243,                0.88828,                0.97781,                0.98612,                0.81388,                0.69017,                0.44196,                 0.8347,             0.00018496,             0.00018496,             0.00018496
                    148,                0.81442,                0.73515,                0.85704,                0.88786,                0.98457,                0.98597,                0.80715,                 0.6902,                0.44118,                0.83487,             0.00018166,             0.00018166,             0.00018166
                    149,                0.73835,                0.77651,                0.85187,                 0.8845,                0.98507,                0.98639,                0.79531,                0.69194,                0.44453,                0.83582,             0.00017836,             0.00017836,             0.00017836
                    150,                0.73732,                0.73202,                0.81503,                0.88785,                 0.9892,                 0.9859,                0.80453,                0.69183,                0.44346,                0.83598,             0.00017505,             0.00017505,             0.00017505
                    151,                0.79329,                0.70849,                0.83369,                0.88698,                 0.9899,                0.98597,                0.80942,                0.68051,                0.43644,                0.83551,             0.00017175,             0.00017175,             0.00017175
                    152,                0.72232,                0.69952,                0.85703,                0.90022,                0.98947,                 0.9882,                0.81555,                0.67754,                0.42836,                0.83453,             0.00016845,             0.00016845,             0.00016845
                    153,                0.78102,                0.92258,                0.86843,                0.91319,                0.98722,                 0.9897,                0.81645,                 0.6812,                0.42621,                0.83509,             0.00016515,             0.00016515,             0.00016515
                    154,                0.69096,                0.66397,                0.82742,                0.92387,                0.98568,                 0.9897,                0.81848,                0.67987,                0.42272,                0.83466,             0.00016185,             0.00016185,             0.00016185
                    155,                0.73398,                0.67035,                0.85584,                0.92919,                0.98443,                0.99012,                 0.8268,                0.67278,                0.42369,                0.83353,             0.00015855,             0.00015855,             0.00015855
